"","Acorn_grouped","DateTime_month","ExpDemand","normal_KWh_mean","high_KWh_mean","low_KWh_mean","flat_KWh_mean"
"38","Affluent",1,"Low",0.144483372599416,0.154614923172103,0.156072291653264,0.177975926545076
"39","Affluent",1,"Normal",0.274727637402907,0.258377720856452,0.337329599146942,0.295775769128321
"40","Affluent",2,"High",0.406071826497582,0.372886590798046,0.4377748629262,0.419152219266027
"41","Affluent",2,"Low",0.14621764319725,0.138489072068729,0.147368406848762,0.181626151535815
"42","Affluent",2,"Normal",0.269824064764902,0.262616516117501,0.279749009647976,0.285891322299894
"43","Affluent",3,"High",0.405830965659487,0.370484023916285,0.371031742780083,0.415368092569543
"44","Affluent",3,"Low",0.144177035813008,0.150717150760719,0.145932033220411,0.185194159568373
"45","Affluent",3,"Normal",0.265663850424301,0.258033356228374,0.271541678109276,0.283570229917869
"46","Affluent",4,"High",0.308091478991302,0.28568007210122,0.301209459251559,0.343480121149728
"47","Affluent",4,"Low",0.125945578720264,0.123248440887041,0.117037422037422,0.160810756838776
"48","Affluent",4,"Normal",0.216787398707908,0.230151112485993,0.21050467907915,0.243245513975666
"49","Affluent",5,"High",0.262954854872926,0.248513160136286,0.263234484655532,0.290722473625127
"50","Affluent",5,"Low",0.114076192718142,NA,0.115438545874207,0.138092662476622
"51","Affluent",5,"Normal",0.195750772578729,0.185943576131201,0.187616424202564,0.216071994435964
"52","Affluent",6,"High",0.240222127182951,0.219710240887101,0.248519208691518,0.269140004935527
"53","Affluent",6,"Low",0.109779836312785,0.111134093528184,0.112734030408745,0.126687481926779
"54","Affluent",6,"Normal",0.181198806070166,0.168898284707893,0.204769960025952,0.205352431380509
"55","Affluent",7,"High",0.220495809786118,0.208833826596195,0.241322450149282,0.250141803145619
"56","Affluent",7,"Low",0.110474542090765,0.113054044436595,0.113800374847704,0.121967815758799
"57","Affluent",7,"Normal",0.168284624437671,0.160233327592058,0.180168358242409,0.191532162925048
"58","Affluent",8,"High",0.227345160437505,NA,0.250001619819878,0.245500689172745
"59","Affluent",8,"Low",0.10623121490986,0.110266952319772,0.104939844717551,0.119211955760753
"60","Affluent",8,"Normal",0.165669730323682,0.160671897360913,0.185802219174616,0.182320078789153
"61","Affluent",9,"High",0.273954911544041,0.300900196142951,0.303605205802603,0.30559041984011
"62","Affluent",9,"Low",0.111180897858031,0.105571683875981,0.115739414225941,0.127130097872451
"63","Affluent",9,"Normal",0.188936839920221,0.17808212368364,0.207302328235563,0.208369388260637
"64","Affluent",10,"High",0.309119670665421,0.310125082334869,0.281364435126235,0.356774754442301
"65","Affluent",10,"Low",0.114589289082823,0.108898977555988,0.123487590928541,0.141229012813615
"66","Affluent",10,"Normal",0.201797486767015,0.198023630680751,0.240683012010258,0.236501091673577
"67","Affluent",11,"High",0.364388234714428,0.363537924351734,0.393779164160948,0.408696423770039
"68","Affluent",11,"Low",0.127239247325698,0.126324999891304,0.134340647343743,0.163199358376793
"69","Affluent",11,"Normal",0.238579514819946,0.205077224233196,0.256599902902887,0.273074229470814
"70","Affluent",12,"High",0.380720958627969,0.376509037656789,0.403877281923839,0.419471842521643
"71","Affluent",12,"Low",0.135246821244292,0.132123433552632,0.13392447777704,0.176293293425315
"72","Affluent",12,"Normal",0.257990304938979,0.283207012359386,0.259555940044807,0.298099006777887
"73","Comfortable",1,"High",0.35299449548896,0.369338649108818,0.35384517663187,0.370050028158508
"74","Comfortable",1,"Low",0.122244200364507,0.123903922654918,0.138378640726589,0.138822624910963
"75","Comfortable",1,"Normal",0.235004836530975,0.218121074878601,0.29489849339673,0.248972996300965
"76","Comfortable",2,"High",0.348391911047825,0.319438157600862,0.39090379321934,0.361770164167815
"77","Comfortable",2,"Low",0.132580314287398,0.125221988226622,0.13584555904612,0.138665429141968
"78","Comfortable",2,"Normal",0.238532926377492,0.231732708608994,0.258780070498395,0.242465704533104
"79","Comfortable",3,"High",0.334624737767971,0.300344810830909,0.318291324810726,0.362140167289299
"80","Comfortable",3,"Low",0.127144016765837,0.128099580712788,0.127910687847608,0.141604514651514
"81","Comfortable",3,"Normal",0.229734939102661,0.219611402698446,0.248318159111501,0.246344711339333
"82","Comfortable",4,"High",0.263105397919877,0.244352066060606,0.26090555531746,0.298183927466986
"83","Comfortable",4,"Low",0.106182373598555,0.0908681434599156,0.105478398828411,0.127541706508226
"84","Comfortable",4,"Normal",0.191734578574603,0.191654182855058,0.195342449162437,0.211838367825137
"85","Comfortable",5,"High",0.22536566687624,0.211216214446908,0.237694513142192,0.253454771325931
"86","Comfortable",5,"Low",0.0987824648502546,NA,0.101042726901619,0.11410949901847
"87","Comfortable",5,"Normal",0.177398994530948,0.165748958085579,0.178697463197612,0.189803376587371
"88","Comfortable",6,"High",0.212766007774877,0.202003914483676,0.22798492173913,0.237223104912818
"89","Comfortable",6,"Low",0.0984236020269328,0.0979750186000495,0.103491371746125,0.108421462832216
"90","Comfortable",6,"Normal",0.167143161835535,0.155790575401616,0.190857095188354,0.181380995093084
"91","Comfortable",7,"High",0.206540602471455,0.199984967254902,0.225547929068047,0.232332736533652
"92","Comfortable",7,"Low",0.103622936628592,0.111493513513514,0.103936422413793,0.111850765109088
"93","Comfortable",7,"Normal",0.160938733081252,0.159378069429648,0.180317347037446,0.176726022208264
"94","Comfortable",8,"High",0.211934543949971,NA,0.227233875729311,0.230279477545814
"95","Comfortable",8,"Low",0.0976998149046933,0.108888165038002,0.0925080406957663,0.109901220747986
"96","Comfortable",8,"Normal",0.160023742831052,0.161617806731813,0.180936201810089,0.171670347369828
"97","Comfortable",9,"High",0.241518838395189,0.241078289440789,0.255815181435644,0.266370824047917
"98","Comfortable",9,"Low",0.0988288903764935,0.0961356511490866,0.107410976277188,0.111238585665931
"99","Comfortable",9,"Normal",0.174547030849826,0.162417763190789,0.187782277552786,0.185550052413012
"100","Comfortable",10,"High",0.265678526005332,0.260485927218543,0.255514900331126,0.310730347853708
"101","Comfortable",10,"Low",0.101374989233153,0.0969047706759993,0.110088185261965,0.119051020375153
"102","Comfortable",10,"Normal",0.181248682775441,0.170177549136503,0.227327180972852,0.207945222813104
"103","Comfortable",11,"High",0.296029256287854,0.29623011886845,0.35438788153626,0.350024346471932
"104","Comfortable",11,"Low",0.10872627523563,0.115388333333333,0.113216238846261,0.129594417271649
"105","Comfortable",11,"Normal",0.201071298107956,0.174623311572453,0.220685094137835,0.229907118939828
"106","Comfortable",12,"High",0.307486623175421,0.307395766760646,0.333914540703412,0.372368029698576
"107","Comfortable",12,"Low",0.117124002921603,0.11055266960077,0.117871696467151,0.139230475252458
"108","Comfortable",12,"Normal",0.217670418127277,0.227873400628507,0.228382388909918,0.25818869423095
